,width,module,t,l1
266,256,layers.3.layers.0,1,0.11914780735969543
267,256,layers.3.layers.1,1,0.06827858835458755
268,256,layers.3.layers,1,0.06827858835458755
269,256,layers.3,1,0.06827858835458755
270,256,layers.4.query,1,0.09070632606744766
271,256,layers.4.key,1,0.09845945239067078
272,256,layers.4.value,1,0.09233386069536209
273,256,layers.4,1,0.0923338532447815
274,256,layers.5.layers.0,1,0.06290039420127869
275,256,layers.5.layers.1,1,0.03234487026929855
276,256,layers.5.layers,1,0.03234487026929855
277,256,layers.5,1,0.03234487026929855
278,256,layers.6.query,1,0.044527456164360046
279,256,layers.6.key,1,0.0447283610701561
280,256,layers.6.value,1,0.04599720612168312
281,256,layers.6,1,0.04599720984697342
282,256,layers.7.layers.0,1,0.028652915731072426
283,256,layers.7.layers.1,1,0.014161979779601097
284,256,layers.7.layers,1,0.014161979779601097
285,256,layers.7,1,0.014161979779601097
286,256,unembed,1,0.08678160607814789
287,256,,1,0.08678160607814789
288,256,embed,2,0.7282271385192871
289,256,fin,2,0.7238969802856445
290,256,layers.0.query,2,0.5370358824729919
291,256,layers.0.key,2,0.5189999341964722
292,256,layers.0.value,2,0.5334905385971069
293,256,layers.0,2,0.4149560034275055
294,256,layers.1.layers.0,2,0.29968658089637756
295,256,layers.1.layers.1,2,0.12507766485214233
296,256,layers.1.layers,2,0.12507766485214233
297,256,layers.1,2,0.12507766485214233
298,256,layers.2.query,2,0.18818160891532898
299,256,layers.2.key,2,0.18257789313793182
300,256,layers.2.value,2,0.1852484792470932
301,256,layers.2,2,0.18520161509513855
302,256,layers.3.layers.0,2,0.11986860632896423
303,256,layers.3.layers.1,2,0.06876963376998901
304,256,layers.3.layers,2,0.06876963376998901
305,256,layers.3,2,0.06876963376998901
306,256,layers.4.query,2,0.09133341908454895
307,256,layers.4.key,2,0.09902654588222504
308,256,layers.4.value,2,0.0930500328540802
309,256,layers.4,2,0.0930500328540802
310,256,layers.5.layers.0,2,0.06340071558952332
311,256,layers.5.layers.1,2,0.032611094415187836
312,256,layers.5.layers,2,0.032611094415187836
313,256,layers.5,2,0.032611094415187836
314,256,layers.6.query,2,0.04484323412179947
315,256,layers.6.key,2,0.04502750188112259
316,256,layers.6.value,2,0.046418339014053345
317,256,layers.6,2,0.046418339014053345
318,256,layers.7.layers.0,2,0.029034364968538284
319,256,layers.7.layers.1,2,0.014372268691658974
320,256,layers.7.layers,2,0.014372268691658974
321,256,layers.7,2,0.014372268691658974
322,256,unembed,2,0.11882966011762619
323,256,,2,0.11882966011762619
